service,service-url,formerly,details,type,type-slug,category,category-slug,available,kiosk-friendly,kiosk-only,print-required,osssio,franchise
Report fire ants,https://www.business.qld.gov.au/industry/agriculture/land-management/health-pests-weeds-diseases/pests/fire-ants-queensland/reporting-fire-ants,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,no,no,
Apply for an Individually Droughted Property (IDP) declaration,https://www.business.qld.gov.au/industry/agriculture/rural-disaster-recovery/drought-assistance/idp-declaration,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,no,no,
Pay for fisheries development planning infringement notice,https://www.smartservice.qld.gov.au/services/fine/Planning,,,Pay it,pay-it,"Environment, land and water",environment-land-and-water,yes,yes,no,no,no,
Apply for a commercial fisher licence,http://www.business.qld.gov.au/industry/fisheries/commercial-fishing/licences-and-fees/commercial-fishing-licences/commercial-fisher-licence,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to have a fishing day reinstated,http://www.business.qld.gov.au/industry/fisheries/commercial-fishing/monitoring-and-reporting/vessel-monitoring-system/fishing-days,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Purchase a permit to fish in stocked dams,https://www.smartservice.qld.gov.au/services/permits/fishing/apply,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,no,no,
Pay for fisheries infringement notice,https://www.smartservice.qld.gov.au/services/fine/Fishing,,,Pay it,pay-it,"Environment, land and water",environment-land-and-water,yes,yes,no,no,no,
Apply for an emergency water infrastructure rebate,http://www.business.qld.gov.au/business/running/disaster-resilence-and-recovery/natural-disaster-assistance/,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Pay a Forestry Penalty Infringement Notice ,https://www.smartservice.qld.gov.au/services/fine/forestryfines,,,Pay it,pay-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,no,
Apply for water and fodder freight subsidies,http://www.business.qld.gov.au/business/running/disaster-resilence-and-recovery/natural-disaster-assistance,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Submit a water availability statement,http://www.business.qld.gov.au/business/running/disaster-resilence-and-recovery/natural-disaster-assistance/,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Apply for a licence for declared pests or native and exotic species ,http://www.business.qld.gov.au/industry/agriculture/exhibiting-animals-queensland/licences-permits-exhibiting-animals,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Apply to exhibit a declared pest animal,http://www.business.qld.gov.au/industry/agriculture/exhibiting-animals-queensland/licences-permits-exhibiting-animals,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Register as a beekeeper ,https://www.business.qld.gov.au/industry/agriculture/niche-industries/beekeeping/permits-national-parks,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Move bees and beekeeping equipment,https://forms.business.gov.au/aba/qldgov3/application-to-move-bees-and-beekeeping-equipment/,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Complete a waybill ,https://www.business.qld.gov.au/industry/agriculture/animal-management/land-management-for-livestock-farms/welfare-movement-livestock/legal-requirements-transporting-animals/waybill-regulations,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Report cattle tick preliminary treatment,https://forms.business.gov.au/aba/qldgov3/cattle-tick-preliminary-treatment-application-form/,,,Report it,report-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Complete the weed declaration (clean down record for the movement of contaminated vehicles) form ,http://www.business.qld.gov.au/business/support-tools-grants/support/queensland-government-online-services,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Complete the weed declaration (sale or supply) form,http://www.business.qld.gov.au/business/support-tools-grants/support/queensland-government-online-services,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Apply to register your property with Biosecurity Queensland,https://www.business.qld.gov.au/industry/agriculture/land-management/property-identification-registration,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,no,no,
